county,population_2010
Cumberland,281674
York,197131
Penobscot,153923
Kennebec,122151
Androscoggin,107702
Aroostook,71870
Oxford,57833
Hancock,54418
Somerset,52228
Knox,39736
Waldo,38786
Sagadahoc,35293
Lincoln,34457
Washington,32856
Franklin,30768
Piscataquis,17535
